week,game,player_name,prop_type,line,over_odds,under_odds,sportsbook,scrape_timestamp
10,NY Giants @ CHI Bears,Jaxson Dart,Longest Rush,14.5,−105,−125,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Ashton Jeanty,Longest Rush,13.5,−105,−125,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix,Longest Rush,11.5,−125,−105,DraftKings,2025-11-04T17:29:28.500818
10,NY Giants @ CHI Bears,Tyrone Tracy Jr.,Longest Rush,10.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,J.J. McCarthy,Longest Rush,9.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,RJ Harvey,Longest Rush,8.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Longest Rush,6.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Penix Jr.,Longest Rush,5.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Justin Jefferson,Longest Reception,25.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Alec Pierce,Longest Reception,25.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Zay Flowers,Longest Reception,24.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Courtland Sutton,Longest Reception,21.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Brock Bowers,Longest Reception,20.5,−125,−105,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Jordan Addison,Longest Reception,20.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Tre Tucker,Longest Reception,20.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Pittman Jr.,Longest Reception,19.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Troy Franklin,Longest Reception,19.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Kyle Pitts,Longest Reception,18.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Tyler Warren,Longest Reception,18.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Darnell Mooney,Longest Reception,17.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Josh Downs,Longest Reception,17.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Bijan Robinson,Longest Reception,16.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Rashod Bateman,Longest Reception,16.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Mark Andrews,Longest Reception,15.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Isaiah Likely,Longest Reception,14.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,BUF Bills @ MIA Dolphins,De'Von Achane,Longest Reception,14.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,T.J. Hockenson,Longest Reception,14.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Evan Engram,Longest Reception,13.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,BUF Bills @ MIA Dolphins,Nick Westbrook-Ikhine,Longest Reception,13.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Michael Mayer,Longest Reception,11.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,NY Giants @ CHI Bears,Tyrone Tracy Jr.,Longest Reception,10.5,−125,−105,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Justice Hill,Longest Reception,10.5,−105,−125,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Ashton Jeanty,Longest Reception,9.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Jonathan Taylor,Longest Reception,9.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,RJ Harvey,Longest Reception,8.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,PIT Steelers @ LA Chargers,Aaron Rodgers,Longest Passing Completion,37.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Lamar Jackson,Longest Passing Completion,37.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Daniel Jones,Longest Passing Completion,36.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix,Longest Passing Completion,35.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,J.J. McCarthy,Longest Passing Completion,35.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,PIT Steelers @ LA Chargers,Justin Herbert,Longest Passing Completion,34.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,NY Giants @ CHI Bears,Jaxson Dart,Longest Passing Completion,34.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Longest Passing Completion,34.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Penix Jr.,Longest Passing Completion,33.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BUF Bills @ MIA Dolphins,Tua Tagovailoa,Longest Passing Completion,33.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
